images;Image url;Max Price;Number of sold items;Price;Product Details Url;Product Title;;categories
https://ae01.alicdn.com/kf/Sc1b5b3c7fb204f5886d3158373813923c/HOT-Global-Version-i13Promax-6-7inch-Smartphone-Dual-SIM-5G-4G-16GB-RAM-512GB-ROM-Dual.jpg_220x220xz.jpg;//ae01.alicdn.com/kf/Sc1b5b3c7fb204f5886d3158373813923c/HOT-Global-Version-i13Promax-6-7inch-Smartphone-Dual-SIM-5G-4G-16GB-RAM-512GB-ROM-Dual.jpg_220x220xz.jpg;;23 vendu(s);MAD 782.89;fr.aliexpress.com/item/1005004265530334.html;Smartphone i13Promax. Version globale. 6.7 pouces. double SIM. 5G. 4G. 16 go de RAM + 512 go de ROM. double SIM. 32mp + 50mp. reconnaissance faciale;;smart phones
https://ae01.alicdn.com/kf/Sa3a8e7e8fd614e8081f1d6d9f993ac23u/I13-ProMax-Smartphone-6-7-Cellphones-Android-Fingerprint-Face-Unlock-Dual-Camera-4G-5G-Smart-Mobile.jpg_220x220xz.jpg;//ae01.alicdn.com/kf/Sa3a8e7e8fd614e8081f1d6d9f993ac23u/I13-ProMax-Smartphone-6-7-Cellphones-Android-Fingerprint-Face-Unlock-Dual-Camera-4G-5G-Smart-Mobile.jpg_220x220xz.jpg;;;MAD 1.290.60;fr.aliexpress.com/item/1005004101312295.html;Smartphone I13 ProMax. téléphone Mobile. écran de 6.7 pouces. déverrouillage par reconnaissance faciale. reconnaissance d'empreintes digitales. double caméra. 4G. 5G. Version internationale;;smart phones
https://ae01.alicdn.com/kf/Sf74cbcb9a07c43d8a0549e75edd5ce66Z/S22-Ultra-Smartphone-Orignal-16G-1T-Celular-6-8-inch-Dual-Sim-Unlocked-Mobile-Phones-4G.jpg_220x220xz.jpg;//ae01.alicdn.com/kf/Sf74cbcb9a07c43d8a0549e75edd5ce66Z/S22-Ultra-Smartphone-Orignal-16G-1T-Celular-6-8-inch-Dual-Sim-Unlocked-Mobile-Phones-4G.jpg_220x220xz.jpg;;135 vendu(s);MAD 793.43;fr.aliexpress.com/item/1005004243305323.html;Téléphone portable S22 Ultra débloqué. écran de 6.8 pouces. Smartphone. mémoire de 16 go + 1T. double Sim. 4G. 5G. Android. batterie de 6800mAh;;smart phones
https://ae01.alicdn.com/kf/S002ad4b11a214029b69327d852db953fK/HOT-Global-Version-6-7inch-I13Promax-5G-4G-Smartphone-Dual-SIM-16GB-RAM-512GB-ROM-Dual.jpg_220x220xz.jpg;//ae01.alicdn.com/kf/S002ad4b11a214029b69327d852db953fK/HOT-Global-Version-6-7inch-I13Promax-5G-4G-Smartphone-Dual-SIM-16GB-RAM-512GB-ROM-Dual.jpg_220x220xz.jpg;;9 vendu(s);MAD 752.47;fr.aliexpress.com/item/1005004260812479.html;Smartphone I13Promax 5G 4G. Version globale. 6.7 pouces. double SIM. 16 go de RAM + 512 go de ROM. 32mp + 50mp. reconnaissance faciale;;smart phones
https://ae01.alicdn.com/kf/Sc6fcefc1e7824af5986b4fdc98d741ffO/Smartphone-S22-Ultra-6-8-Inch-HD-Screen-Dual-Sim-Unlocked-Cell-Phones-Android-Mobile-Phones.jpg_220x220xz.jpg;//ae01.alicdn.com/kf/Sc6fcefc1e7824af5986b4fdc98d741ffO/Smartphone-S22-Ultra-6-8-Inch-HD-Screen-Dual-Sim-Unlocked-Cell-Phones-Android-Mobile-Phones.jpg_220x220xz.jpg;;83 vendu(s);MAD 808.44;fr.aliexpress.com/item/1005004243291203.html;Smartphone S22 4G 5G Ultra débloqué. téléphone portable. écran HD 6.8 pouces. double Sim. Android. caméra 64mp;;smart phones
https://ae01.alicdn.com/kf/S5dcd9854980b4679afc62ddfe5d261dcj/Global-Version-New-S22-Ultra-7-3-Inch-Smartphones-4G-5G-Network-Cellphone-16G-1TB-7300mAh.jpg_220x220xz.jpg;//ae01.alicdn.com/kf/S5dcd9854980b4679afc62ddfe5d261dcj/Global-Version-New-S22-Ultra-7-3-Inch-Smartphones-4G-5G-Network-Cellphone-16G-1TB-7300mAh.jpg_220x220xz.jpg;;16 vendu(s);MAD 1.041.27;fr.aliexpress.com/item/1005004307263106.html;Smartphone S22. téléphone portable Ultra 7.3 pouces. réseau 4G/5G. 16 go + 1 to. 7300mAh. 48 + 100MP. Android. double Sim. Version internationale;;smart phones
https://ae01.alicdn.com/kf/Sec914ad15f4b4a6780628e5a5de267abe/Global-Version-Cellphone-6-7-Inch-6800mAh-Octa-Core-Quad-16GB-512GB-Rear-Camera-Android-11.jpg_220x220xz.jpg;//ae01.alicdn.com/kf/Sec914ad15f4b4a6780628e5a5de267abe/Global-Version-Cellphone-6-7-Inch-6800mAh-Octa-Core-Quad-16GB-512GB-Rear-Camera-Android-11.jpg_220x220xz.jpg;;;MAD 1.322.82;fr.aliexpress.com/item/1005004098290742.html;Téléphone portable 6.7 pouces. Version globale. 6800mAh Octa Core Quad 16 go + 512 go. caméra arrière. Android 11.0. 5G 4G LTE;;smart phones
https://ae01.alicdn.com/kf/S849aef15dd8144768cd89e4d6615f939u/Smartphone-6-7-I13PROMAX-Cellphones-Android-Fingerprint-Face-Unlock-Dual-Camera-4G-5G-Smart-Mobile-Cell.jpg_220x220xz.jpg;//ae01.alicdn.com/kf/S849aef15dd8144768cd89e4d6615f939u/Smartphone-6-7-I13PROMAX-Cellphones-Android-Fingerprint-Face-Unlock-Dual-Camera-4G-5G-Smart-Mobile-Cell.jpg_220x220xz.jpg;;1 vendu(s);MAD 1.322.90;fr.aliexpress.com/item/1005004101148185.html;Smartphone I13PROMAX. téléphone portable de 6.7 pouces. déverrouillage par empreinte digitale. reconnaissance faciale. double caméra. 4G. 5G. Version globale;;smart phones
https://ae01.alicdn.com/kf/S58af69d25446436d804ee33edf6faec2l/Rino4-Pro-MTK6889-Deca-Cores-CPU-6-128GB-5-8Inch-HD-Fullscreen-1080x2320-13-24MP-4800mAH.jpg_220x220xz.jpg;//ae01.alicdn.com/kf/S58af69d25446436d804ee33edf6faec2l/Rino4-Pro-MTK6889-Deca-Cores-CPU-6-128GB-5-8Inch-HD-Fullscreen-1080x2320-13-24MP-4800mAH.jpg_220x220xz.jpg;;1 vendu(s);MAD 619.36;fr.aliexpress.com/item/1005004276704192.html;Rino4 Pro – smartphone. MTK6889. Deca. 6 cœurs. 128 go. écran HD + 5.8 pouces. 1080x2320. 13 + 24MP. 4800mAH. Android. Version internationale;;smart phones
https://ae01.alicdn.com/kf/S7ba2b5bb68994e40911f2cb65438d84dt/2022-New-S22-Ultra-Smartphone-7-3-Inch-16GB-1TB-6800mAh-5G-Network-Unlock-Smart-Phone.jpg_220x220xz.jpg;//ae01.alicdn.com/kf/S7ba2b5bb68994e40911f2cb65438d84dt/2022-New-S22-Ultra-Smartphone-7-3-Inch-16GB-1TB-6800mAh-5G-Network-Unlock-Smart-Phone.jpg_220x220xz.jpg;;18 vendu(s);MAD 953.19;fr.aliexpress.com/item/1005004285322627.html;Téléphone portable S22 + Ultra. écran de 2022 pouces. Smartphone. mémoire de 16GB et 1TB. batterie de 7.3 mAh. déverrouillage du réseau 5G. Version internationale. nouveau. 6800;;smart phones
